Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2022-10-14,Stock,紫金矿业(601899.XSHG),Long,100Shares,100Shares,7.96,796,25,7.71,-,0,12,0Shares,3.24%,194989.81,0.41%
2022-10-14,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.25,153425,6859,4.06,-,0,1805,0Shares,4.68%,194989.81,78.68%
2022-10-14,Stock,三七互娱(002555.XSHE),Long,2600Shares,2600Shares,15.26,39676,1196,14.8,-,0,780,0Shares,3.11%,194989.81,20.35%
2022-10-14,,Cash,,,,,1092.81,,,,,,,,0
2022-10-17,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.22,152342,5776,4.06,-,0,-1083,0Shares,3.94%,194141.01,78.47%
2022-10-17,Stock,三七互娱(002555.XSHE),Long,2600Shares,2600Shares,15.35,39910,1430,14.8,-,0,234,0Shares,3.72%,194141.01,20.56%
2022-10-17,,Cash,,,,,1889.01,,,,,,,,0
2022-10-18,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.18,150898,4332,4.06,-,0,-1444,0Shares,2.96%,192307.01,78.47%
2022-10-18,Stock,三七互娱(002555.XSHE),Long,2600Shares,2600Shares,15.2,39520,1040,14.8,-,0,-390,0Shares,2.7%,192307.01,20.55%
2022-10-18,,Cash,,,,,1889.01,,,,,,,,0
2022-10-19,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.13,149093,2527,4.06,-,0,-1805,0Shares,1.72%,189748.01,78.57%
2022-10-19,Stock,三七互娱(002555.XSHE),Long,2600Shares,2600Shares,14.91,38766,286,14.8,-,0,-754,0Shares,0.74%,189748.01,20.43%
2022-10-19,,Cash,,,,,1889.01,,,,,,,,0
2022-10-20,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.11,148371,1805,4.06,-,0,-722,0Shares,1.23%,189889.01,78.14%
2022-10-20,Stock,三七互娱(002555.XSHE),Long,2600Shares,2600Shares,15.22,39572,1092,14.8,-,0,806,0Shares,2.84%,189889.01,20.84%
2022-10-20,Stock,新奥股份(600803.XSHG),Long,100Shares,0Shares,17.42,1742,62,16.8,-,0,62,100Shares,3.69%,189889.01,0.92%
2022-10-20,,Cash,,,,,204.01,,,,,,,,0
2022-10-21,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.12,148732,2166,4.06,-,0,361,0Shares,1.48%,189338.01,78.55%
2022-10-21,Stock,三七互娱(002555.XSHE),Long,2600Shares,2600Shares,14.87,38662,182,14.8,-,0,-910,0Shares,0.47%,189338.01,20.42%
2022-10-21,Stock,新奥股份(600803.XSHG),Long,100Shares,100Shares,17.4,1740,60,16.8,-,0,-2,0Shares,3.57%,189338.01,0.92%
2022-10-21,,Cash,,,,,204.01,,,,,,,,0
2022-10-24,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.06,146566,0,4.06,-,0,-2166,0Shares,0%,185800.01,78.88%
2022-10-24,Stock,三七互娱(002555.XSHE),Long,2600Shares,2600Shares,14.35,37310,-1170,14.8,-,0,-1352,0Shares,-3.04%,185800.01,20.08%
2022-10-24,Stock,新奥股份(600803.XSHG),Long,100Shares,100Shares,17.2,1720,40,16.8,-,0,-20,0Shares,2.38%,185800.01,0.93%
2022-10-24,,Cash,,,,,204.01,,,,,,,,0
2022-10-25,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.07,146927,361,4.06,-,0,361,0Shares,0.25%,185889.74,79.04%
2022-10-25,Stock,新奥股份(600803.XSHG),Long,100Shares,100Shares,16.79,1679,-1,16.8,-,0,-41,0Shares,-0.06%,185889.74,0.9%
2022-10-25,,Cash,,,,,37283.74,,,,,,,,0
2022-10-26,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.07,146927,361,4.06,-,0,0,0Shares,0.25%,186154.97,78.93%
2022-10-26,Stock,新奥股份(600803.XSHG),Long,100Shares,100Shares,16.33,1633,-47,16.8,-,0,-46,0Shares,-2.8%,186154.97,0.88%
2022-10-26,Stock,东方财富(300059.XSHE),Long,2300Shares,0Shares,15.75,36225,322,15.61,-,0,322,2300Shares,0.9%,186154.97,19.46%
2022-10-26,,Cash,,,,,1369.97,,,,,,,,0
2022-10-27,Stock,中国铝业(601600.XSHG),Long,36100Shares,36100Shares,4.07,146927,361,4.06,-,0,0,0Shares,0.25%,186845.97,78.64%
2022-10-27,Stock,新奥股份(600803.XSHG),Long,100Shares,100Shares,16.34,1634,-46,16.8,-,0,1,0Shares,-2.74%,186845.97,0.87%
