,carry_return,funding_return,post_trade_return,fee_return,gross_return,net_return,nav,starting_equity,gross_exposure,net_exposure,long_exposure,short_exposure,long_count,short_count,turnover
2022-04-15,0.00017722695793279252,-4.096825396825397e-06,-0.0012300501962330282,-3.809523809523809e-05,-0.0010569200636970611,-0.0010950153017922992,1.7674247382799277,477.7277985851228,0.8730158730158726,0.0,0.43650793650793646,0.4365079365079365,30,27,0.09523809523809523
2022-04-16,0.0009643177127707432,-2.0890476190476192e-05,0.001282214008457899,-3.809523809523809e-05,0.002225641245038166,0.002187546006942928,1.7712910612087243,477.20467933558047,0.8730158730158726,0.0,0.43650793650793646,0.4365079365079365,29,27,0.09523809523809523
2022-04-17,-0.0021085726925600444,-2.8864206349206355e-05,-0.0004595428575252727,-3.809523809523809e-05,-0.0025969797564345237,-0.0026350749945297618,1.766623576425299,478.24858652635555,0.8888888888888884,0.0,0.44444444444444436,0.44444444444444453,28,29,0.09523809523809523
2022-04-18,0.004253616092808674,-5.173888888888891e-06,-0.0018294993911686071,-3.809523809523809e-05,0.0024189428127511783,0.00238084757465594,1.7708296378825612,476.98836563483076,0.8888888888888884,0.0,0.4444444444444444,0.4444444444444444,28,29,0.09523809523809523
2022-04-19,-0.0010007474878913696,-1.2131984126984128e-05,-0.0005569548796010621,-3.809523809523809e-05,-0.0015698343516194159,-0.001607929589714654,1.7679822685094662,478.12400222829154,0.8730158730158726,0.0,0.4365079365079365,0.4365079365079364,26,29,0.09523809523809523
2022-04-20,-0.010653903270695585,-1.3341904761904762e-05,-9.006380036022363e-05,-3.1746031746031745e-05,-0.010757308975817713,-0.010789055007563745,1.74890741056212,477.35521249755584,0.8412698412698407,0.0,0.4206349206349206,0.4206349206349206,24,27,0.07936507936507936
2022-04-21,0.0005436418450019947,1.6251904761904768e-05,-0.0004959313576277218,-3.809523809523809e-05,6.396239213617757e-05,2.5867154040939477e-05,1.7489526498195125,472.2050008517724,0.8412698412698407,0.0,0.4206349206349206,0.4206349206349206,25,30,0.09523809523809523
2022-04-22,0.007402434003108787,-1.1512936507936505e-05,-0.001162184034840897,-3.1746031746031745e-05,0.006228737031759954,0.006196991000013922,1.7597908936498945,472.2172154512684,0.841269841269841,0.0,0.4206349206349206,0.4206349206349205,24,29,0.07936507936507936
2022-04-23,-0.0006469238897792298,1.0065158730158741e-05,0.0003609648903842319,-3.333333333333333e-05,-0.0002758938406648391,-0.00030922717399817245,1.7592467184850233,475.1435412854715,0.8134920634920633,-2.7755575615628914e-17,0.40674603174603174,0.40674603174603163,23,26,0.08333333333333333
2022-04-24,-0.00016033208272325398,3.4042261904762e-06,-0.0007689814314523187,-3.1746031746031745e-05,-0.0009259092879850965,-0.0009576553197311283,1.7575619665063467,474.9966139909563,0.8253968253968251,-2.7755575615628914e-17,0.4126984126984127,0.4126984126984127,22,27,0.07936507936507936
2022-04-25,-0.0006783411832733115,3.353849206349207e-06,0.0031527717169229563,-3.809523809523809e-05,0.002477784382855994,0.002439689144760756,1.7618498713572763,474.5417309567136,0.8253968253968249,-2.7755575615628914e-17,0.4126984126984127,0.41269841269841256,23,28,0.09523809523809523
2022-04-26,-0.004187893158438445,3.47936507936507e-07,-0.0023166345206719363,-3.809523809523809e-05,-0.006504179742602445,-0.0065422749806976835,1.75032336502415,475.6994652664646,0.8253968253968251,-2.7755575615628914e-17,0.4126984126984127,0.4126984126984127,22,28,0.09523809523809523
2022-04-27,0.006781174557148105,-2.4430853174603172e-05,-0.0009398762849598636,-3.809523809523809e-05,0.005816867419013638,0.0057787721809184,1.760438084993563,472.5873085565205,0.793650793650793,-2.7755575615628914e-17,0.39682539682539686,0.39682539682539686,20,28,0.09523809523809523
2022-04-28,-0.0003822396511862265,9.405138888888894e-06,-0.00021901039045364853,-3.809523809523809e-05,-0.0005918449027509862,-0.0006299401408462243,1.759329114378351,475.31828294826204,0.7777777777777775,-2.7755575615628914e-17,0.38888888888888895,0.38888888888888884,20,29,0.09523809523809523
