symbol,total_pnl_usdt,price_pnl_usdt,funding_pnl_usdt,fee_pnl_usdt,avg_weight,avg_abs_weight,max_abs_weight,active_bars,avg_turnover,pnl_share
RAD-USDT,6.837545769698028,6.747773039479829,0.16837755170792942,-0.07860482148973288,-0.0011160714285714285,0.001328656462585034,0.061507936507936505,123,0.00013547085500867012,0.001996222211374964
ARPA-USDT,6.590576936439011,6.18964309223197,0.7153380541396788,-0.31440420993263374,-0.000744047619047619,0.004032863145258103,0.06349206349206349,509,0.0004626850740296118,0.001924119634357658
GUA-USDT,6.472669634389465,7.089955727797548,-0.5750491835551258,-0.04223690985295657,0.00017507002801120448,0.00017507002801120448,0.015873015873015872,27,1.6673336001067092e-05,0.0018896965850410906
DENT-USDT,6.451377260519239,7.040084478392977,-0.2533779048967806,-0.33532931297695684,0.0008972338935574231,0.004204806922769107,0.047619047619047616,576,0.000506452581032413,0.0018834802742353901
PLUME-USDT,6.435683999639889,6.7555322010756305,-0.19664702334349543,-0.12320117809224623,-0.0010504201680672268,0.0010504201680672268,0.06349206349206349,100,9.170334800586901e-05,0.001878898625060171
OM-USDT,6.358999374176939,6.411842909089005,-0.039105474473479375,-0.013738060438587312,0.00017507002801120448,0.00017507002801120448,0.007936507936507936,42,1.6673336001067092e-05,0.00185651054053743
PROMPT-USDT,6.237965729130607,6.146646032731859,0.24973478003344102,-0.15841508363468665,-0.0016412815126050418,0.0016412815126050418,0.047619047619047616,99,0.00011671335200746965,0.0018211747550519557
HAEDAL-USDT,6.178206734166854,6.307022603134683,-0.07798952075342347,-0.05082634821440678,-8.753501400560224e-05,0.0002626050420168067,0.007936507936507936,63,2.501000400160064e-05,0.0018037281101454226
BROCCOLI714-USDT,6.1343986121211955,6.129791994531573,0.028927545869594347,-0.024320928279971364,-0.00017507002801120448,0.00017507002801120448,0.015873015873015872,22,1.6673336001067092e-05,0.0017909383242760944
VOXEL-USDT,6.133146075848793,6.164914415210807,0.017431589977986595,-0.04919992933999883,-0.0002626050420168067,0.00043767507002801117,0.015873015873015872,85,4.168334000266773e-05,0.0017905726461787566
BAN-USDT,6.127001383367379,6.339868808069861,0.038430054432239374,-0.25129747913471645,0.0007878151260504201,0.00116296518607443,0.031746031746031744,176,0.0001583966920101374,0.0017887787025582507
XMR-USDT,5.87623439053582,6.533855345236897,-0.28475474553237023,-0.3728662091687057,0.005252100840336133,0.006552621048419367,0.09325396825396826,689,0.0005939875950380152,0.001715567252451618
ROSE-USDT,5.819663603517305,5.9021389971718055,0.12052789875350636,-0.20300329240800685,-0.0006783963585434175,0.0028042466986794713,0.02976190476190476,448,0.00031470921702014137,0.0016990514051922424
MAGMA-USDT,5.7637407227250375,5.822450980102472,-0.02543870361088467,-0.03327155376655134,5.418834200346805e-05,0.00012088168600773643,0.007936507936507936,29,1.250500200080032e-05,0.0016827247142242156
BSW-USDT,5.682014949793107,6.27505667391539,-0.342377118643354,-0.25066460547891734,-0.0004376750700280114,0.0023634453781512603,0.1111111111111111,123,0.0002167533680138722,0.0016588648661641841
FOOTBALL-USDT,5.570255831439039,6.708685400362729,-0.9781062998153909,-0.16032326910830022,-0.0005252100840336132,0.003807773109243697,0.07142857142857142,262,0.000312625050020008,0.0016262367797284384
MBL-USDT,5.56350553840709,5.6778160669181705,-0.07296034006148919,-0.04135018844959232,-0.0005252100840336134,0.0007002801120448179,0.031746031746031744,96,6.669334400426837e-05,0.001624266030963087
HMSTR-USDT,5.532620435377092,5.542374487749524,0.0698602024233378,-0.07961425479576983,-0.0005033263305322128,0.0006283763505402159,0.023809523809523808,81,6.460917700413499e-05,0.00161524912186358
42-USDT,5.475393245293942,5.151218175202242,0.3982412425255779,-0.07406617243387506,-0.00035014005602240897,0.00035014005602240897,0.023809523809523808,46,3.3346672002134185e-05,0.0015985416376599888
TOSHI-USDT,5.293598772568185,6.326388143109268,-0.9604265188979273,-0.07236285164315011,-0.000350140056022409,0.000350140056022409,0.015873015873015872,45,3.3346672002134185e-05,0.0015454667221005741
CAKE-USDT,5.281007992826172,5.388590971450723,-0.0727293484608752,-0.03485363016367536,0.00035014005602240897,0.00035014005602240897,0.015873015873015872,44,3.3346672002134185e-05,0.0015417908426218695
SOL-USDT,5.275728008213842,5.208289119730036,0.07464255508910173,-0.007203666605297381,0.00035014005602240897,0.00035014005602240897,0.023809523809523808,44,3.3346672002134185e-05,0.0015402493505552919
ZIL-USDT,5.255255103800694,5.2740534871713045,0.15094563932739652,-0.16974402269800487,0.0004376750700280114,0.002761521275176737,0.05555555555555555,449,0.0002792783780178738,0.0015342722839443452
BADGER-USDT,5.035437723752856,5.208914436913498,-0.08345425505028575,-0.09002245811035789,0.0003720238095238095,0.0008222038815526209,0.031746031746031744,97,0.00011462918500733626,0.0014700965765666488
ONE-USDT,4.880206807749532,5.691712233271472,-0.5327188782678407,-0.27878654725409646,0.001488095238095238,0.004276710684273709,0.05357142857142857,594,0.0004751900760304121,0.0014247768942047124
