,offset_00,offset_01,offset_02,offset_03,offset_04,offset_05,offset_06,offset_07,offset_08,offset_09,offset_10,offset_11,offset_12,offset_13,offset_14,offset_15,offset_16,offset_17,offset_18,offset_19,offset_20
2023-07-17,1.0298256841127718,1.1020456516412107,1.0748268355643125,1.0472532752751103,1.069203856862856,1.0378646862665275,1.057824261062371,1.0493831879369349,1.0401765219809058,1.0115317265069586,0.9908857285811289,0.9956646685374617,1.0700436152652757,1.0562189082422435,1.104385486150427,1.089926196536472,1.0274414832038028,1.1004345884064026,1.0349333815665376,1.0304764503885646,1.0234737736631496
2023-07-18,1.0301157521354602,1.1018426994091717,1.074713374287173,1.0466308353465448,1.0689691077820243,1.0380381565055399,1.058043963174644,1.049486354771407,1.039391370501236,1.0112569770638917,0.9904412354810632,0.9951381272230215,1.0700187610325116,1.0558946011714634,1.1040609027943518,1.0902911480953816,1.0270757125150938,1.1006821359254544,1.0347881891095079,1.030559227059778,1.023864058029643
2023-07-19,1.0302220958900685,1.102024819718033,1.0747201533737636,1.047001298921255,1.0693905145618674,1.0392602569967564,1.0589770653300483,1.0506998627765514,1.0397288013940464,1.0120254785340417,0.9910113896211429,0.995562458198804,1.0703033048665924,1.056012568508944,1.1040541082432382,1.0900613392115615,1.0271539115338073,1.1009817922997136,1.035402859836885,1.0307799162453706,1.0239828054054527
2023-07-20,1.0304032905714375,1.1022797662938322,1.0740194873618345,1.0468833109135962,1.0687192082888948,1.03856709401091,1.0577956131355095,1.0504467003345255,1.0390989127356902,1.0119506787890555,0.9907980802399324,0.9949823333607033,1.0696493015906408,1.0557674798931946,1.103783729774528,1.0904986561639403,1.0272024420784012,1.1017028053147915,1.0360297761064743,1.0313521600348476,1.0242167749111688
2023-07-21,1.0314168081793342,1.1026370409172148,1.0745706868625007,1.0472461732365261,1.069563193812617,1.0392604899670888,1.0581902744531784,1.0501354877885913,1.0397135064375276,1.0117404126375933,0.9911868757581119,0.9958974944400263,1.0706350100877846,1.0566608352122246,1.1046446036665816,1.0901295673452107,1.0272551789300466,1.1014649478702678,1.0357495641522811,1.0313657298660635,1.0250899553226764
2023-07-22,1.0315583799453782,1.1027938271581559,1.074586245216293,1.046969739597839,1.0694658145727944,1.041337904151033,1.059989547885358,1.0521993811230939,1.0389376599937956,1.0116781800608752,0.9908340790283239,0.9954194515199619,1.0704900357891682,1.0566033567291742,1.1044998419259484,1.0903150136185773,1.0273066505963595,1.1013801806339851,1.0359143555680694,1.0310147928621463,1.0252808776376292
2023-07-23,1.0318772050151273,1.1032118855854718,1.0747306253674531,1.0475544021953105,1.06967138921509,1.0436570569594323,1.0622472672031842,1.0547271070746187,1.0388751362573272,1.011671712161282,0.9907331693194114,0.9955294214284041,1.070591513468782,1.0566294235717695,1.1050515386826256,1.0893112827185616,1.0277153873556795,1.100488029668565,1.0353797763423505,1.0302498541271177,1.0254709043538943
2023-07-24,1.032341157762648,1.1033369438355511,1.074307070771356,1.0472547876324294,1.0691178374227919,1.0431851047665741,1.0618457800099346,1.05412315064606,1.0435069728515969,1.0115920267352323,0.9905065458629803,0.9950313393810866,1.0705086953555476,1.0566829632857004,1.105056055110403,1.0894024951036316,1.0277694215837587,1.1008489614308123,1.035927632421028,1.0306593805919702,1.0256566502649294
2023-07-25,1.0313659323648132,1.1018090008469774,1.0750428612911902,1.047089775045974,1.069851030029312,1.0424235861150883,1.0614775743671325,1.0548260446286808,1.0429756166771067,1.0124816501015397,0.9914957106766794,0.9965765202739463,1.071190833118888,1.0572699970565536,1.1067458280805913,1.0886399429124032,1.0279500407860107,1.1007120354826205,1.0352108874431873,1.0295405219228335,1.0256244240497856
2023-07-26,1.031284387738385,1.1015617476939306,1.0753665731762843,1.0471889807878985,1.0696028441313916,1.0422545181723193,1.0614337808899732,1.055372091813775,1.0435754569752183,1.0130482862604915,0.9922689689802648,0.9972986666249284,1.0721438363342493,1.058364411751861,1.1067943228827353,1.0887341476644148,1.027055960151257,1.100520706411733,1.0349398395978417,1.0290171926906364,1.0257999263464554
2023-07-27,1.0319120849709498,1.1023294877754466,1.0767835339005327,1.0478802816693527,1.0693348802710159,1.042262649694109,1.0611274937848907,1.0546668646981847,1.0453290401431996,1.0131620850396492,0.9925133669079635,0.9971964420793044,1.0720367240657198,1.0580399927699178,1.107231082538167,1.088758428386898,1.0272267459436615,1.1007385810902846,1.0350650597835298,1.0287583069620105,1.0262873086624609
2023-07-28,1.0323147427840917,1.103510870431337,1.0783779939312796,1.0490134793354144,1.0696648552739305,1.042367131959156,1.061332569147756,1.0546080297451552,1.0448511327286545,1.0135997205647405,0.9924685348723874,0.9973285717229599,1.0714441862223587,1.0573684173989115,1.106707525975123,1.0892035550753951,1.02750604833382,1.1007173508083083,1.0353934231163155,1.0289590436050722,1.0267372256975724
2023-07-29,1.031561997677666,1.1024091476471427,1.077422493709815,1.0480671932865708,1.0690006035280413,1.0420145696704248,1.0620920743688658,1.0553487132358894,1.0447948934135918,1.0129612240332198,0.9920081923386663,0.9970318180187737,1.07143669149067,1.0573318244952363,1.1079369196799835,1.0890501817575835,1.0268526430619944,1.1005666116841264,1.0352446448142376,1.0284886576941816,1.0262595889447752
