Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2023-06-28,09:30:00,Stock,中国巨石(600176.XSHG),Sell,Market_Order,-400Shares,14.39,-5756,-400Shares,-,16,10.76,Filled,2023-06-28 09:30:00
2023-07-06,09:30:00,Stock,中国巨石(600176.XSHG),Sell,Market_Order,-100Shares,13.6,-1360,-100Shares,-,-75,6.36,Filled,2023-07-06 09:30:00
2023-07-10,09:30:00,Stock,上海莱士(002252.XSHE),Sell,Market_Order,-300Shares,7.43,-2229,-300Shares,-,-15.45,7.23,Filled,2023-07-10 09:30:00
2023-07-10,09:30:00,Stock,三七互娱(002555.XSHE),Sell,Market_Order,-300Shares,30.5,-9150,-300Shares,-,-410.57,14.15,Filled,2023-07-10 09:30:00
2023-07-10,09:30:00,Stock,北新建材(000786.XSHE),Sell,Market_Order,-300Shares,24.88,-7464,-300Shares,-,327,12.46,Filled,2023-07-10 09:30:00
2023-07-10,09:30:00,Stock,中国巨石(600176.XSHG),Sell,Market_Order,-100Shares,13.5,-1350,-100Shares,-,-85,6.35,Filled,2023-07-10 09:30:00
2023-07-10,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,800Shares,28.89,23112,800Shares,-,0,6.93,Filled,2023-07-10 09:30:00
2023-07-10,09:30:00,Stock,陕西煤业(601225.XSHG),Buy,Market_Order,1300Shares,19.23,24999,1300Shares,-,0,7.5,Filled,2023-07-10 09:30:00
2023-07-10,09:30:00,Stock,振华科技(000733.XSHE),Buy,Market_Order,200Shares,93,18600,200Shares,-,0,5.58,Filled,2023-07-10 09:30:00
2023-07-10,09:30:00,Stock,长春高新(000661.XSHE),Buy,Market_Order,100Shares,143,14300,100Shares,-,0,5,Filled,2023-07-10 09:30:00
2023-07-10,09:30:00,Stock,福耀玻璃(600660.XSHG),Buy,Market_Order,400Shares,35.77,14308,400Shares,-,0,5,Filled,2023-07-10 09:30:00
2023-07-11,09:30:00,Stock,福耀玻璃(600660.XSHG),Sell,Market_Order,-400Shares,35.89,-14356,-400Shares,-,358.29,19.36,Filled,2023-07-11 09:30:00
2023-07-11,09:30:00,Stock,中国神华(601088.XSHG),Sell,Market_Order,-500Shares,28.83,-14415,-500Shares,-,-30,19.42,Filled,2023-07-11 09:30:00
2023-07-11,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-900Shares,19.21,-17289,-900Shares,-,-18,22.48,Filled,2023-07-11 09:30:00
2023-07-12,09:30:00,Stock,陕西煤业(601225.XSHG),Sell,Market_Order,-200Shares,16.9,-3380,-200Shares,-,-30,8.38,Filled,2023-07-12 09:30:00
