,total_contribution,avg_weight,turnover
2157,0.0,0.0,0.0
2158,0.0,0.0,0.0
2160,0.0,0.0,0.0
2162,0.0,0.0,0.0
2168,0.0,0.0,0.0
6886,0.0,0.0,0.0
6,0.0,0.0,0.0
2171,0.0,0.0,0.0
2172,0.0,0.0,0.0
2186,0.0,0.0,0.0
2192,0.0,0.0,0.0
2196,0.0,0.0,0.0
2197,0.0,0.0,0.0
2199,0.0,0.0,0.0
2202,0.0,0.0,0.0
2208,0.0,0.0,0.0
2218,0.0,0.0,0.0
2228,0.0,0.0,0.0
1888,0.0,0.0,0.0
2238,0.0,0.0,0.0
2252,0.0,0.0,0.0
2121,0.0,0.0,0.0
8,0.0,0.0,0.0
2257,0.0,0.0,0.0
2259,0.0,0.0,0.0
2268,0.0,0.0,0.0
2269,0.0,0.0,0.0
2273,0.0,0.0,0.0
2276,0.0,0.0,0.0
2279,0.0,0.0,0.0
2280,0.0,0.0,0.0
2282,0.0,0.0,0.0
2285,0.0,0.0,0.0
2291,0.0,0.0,0.0
2298,0.0,0.0,0.0
2313,0.0,0.0,0.0
2314,0.0,0.0,0.0
2315,0.0,0.0,0.0
2318,0.0,0.0,0.0
2319,0.0,0.0,0.0
2326,0.0,0.0,0.0
2328,0.0,0.0,0.0
2329,0.0,0.0,0.0
2331,0.0,0.0,0.0
2333,0.0,0.0,0.0
2338,0.0,0.0,0.0
2342,0.0,0.0,0.0
10,0.0,0.0,0.0
2356,0.0,0.0,0.0
2357,0.0,0.0,0.0
2359,0.0,0.0,0.0
2362,0.0,0.0,0.0
2363,0.0,0.0,0.0
2367,0.0,0.0,0.0
2511,0.0,0.0,0.0
2378,0.0,0.0,0.0
12,0.0,0.0,0.0
2382,0.0,0.0,0.0
13,0.0,0.0,0.0
2388,0.0,0.0,0.0
2400,0.0,0.0,0.0
2402,0.0,0.0,0.0
2407,0.0,0.0,0.0
2410,0.0,0.0,0.0
2411,0.0,0.0,0.0
2415,0.0,0.0,0.0
2416,0.0,0.0,0.0
2419,0.0,0.0,0.0
2423,0.0,0.0,0.0
2429,0.0,0.0,0.0
2583,0.0,0.0,0.0
2586,0.0,0.0,0.0
2431,0.0,0.0,0.0
2432,0.0,0.0,0.0
2443,0.0,0.0,0.0
2453,0.0,0.0,0.0
2460,0.0,0.0,0.0
2465,0.0,0.0,0.0
2469,0.0,0.0,0.0
14,0.0,0.0,0.0
2487,0.0,0.0,0.0
2498,0.0,0.0,0.0
2500,0.0,0.0,0.0
2506,0.0,0.0,0.0
2507,0.0,0.0,0.0
2510,0.0,0.0,0.0
2616,0.0,0.0,0.0
2617,0.0,0.0,0.0
2517,0.0,0.0,0.0
2522,0.0,0.0,0.0
2533,0.0,0.0,0.0
2550,0.0,0.0,0.0
2555,0.0,0.0,0.0
2556,0.0,0.0,0.0
2562,0.0,0.0,0.0
2565,0.0,0.0,0.0
2570,0.0,0.0,0.0
2575,0.0,0.0,0.0
2577,0.0,0.0,0.0
2579,0.0,0.0,0.0
2580,0.0,0.0,0.0
2582,0.0,0.0,0.0
2666,0.0,0.0,0.0
2669,0.0,0.0,0.0
2587,0.0,0.0,0.0
2588,0.0,0.0,0.0
2589,0.0,0.0,0.0
2590,0.0,0.0,0.0
2591,0.0,0.0,0.0
2595,0.0,0.0,0.0
2600,0.0,0.0,0.0
2601,0.0,0.0,0.0
2602,0.0,0.0,0.0
2603,0.0,0.0,0.0
2607,0.0,0.0,0.0
2609,0.0,0.0,0.0
2610,0.0,0.0,0.0
2611,0.0,0.0,0.0
2777,0.0,0.0,0.0
2788,0.0,0.0,0.0
2618,0.0,0.0,0.0
2627,0.0,0.0,0.0
2628,0.0,0.0,0.0
2629,0.0,0.0,0.0
2631,0.0,0.0,0.0
2637,0.0,0.0,0.0
2643,0.0,0.0,0.0
2648,0.0,0.0,0.0
2652,0.0,0.0,0.0
2655,0.0,0.0,0.0
2656,0.0,0.0,0.0
2659,0.0,0.0,0.0
2661,0.0,0.0,0.0
2665,0.0,0.0,0.0
2883,0.0,0.0,0.0
2888,0.0,0.0,0.0
2676,0.0,0.0,0.0
2678,0.0,0.0,0.0
2685,0.0,0.0,0.0
2687,0.0,0.0,0.0
2688,0.0,0.0,0.0
2689,0.0,0.0,0.0
2691,0.0,0.0,0.0
2692,0.0,0.0,0.0
2698,0.0,0.0,0.0
2701,0.0,0.0,0.0
2714,0.0,0.0,0.0
2727,0.0,0.0,0.0
