日Date,Order_Time,Security_Type,Symbol,Trade_Side,Order_Type,Filled_Qty,Filled_Price,Turnover,Order_Qty,Order_Price,Realized_PnL,Commission,Status,Last_Updated
2018-08-06,09:30:00,Stock,分众传媒(002027.XSHE),Sell,Market_Order,-100Shares,10.28,-1028,-100Shares,-,-60,6.03,Filled,2018-08-06 09:30:00
2018-08-09,09:30:00,Stock,方大炭素(600516.XSHG),Sell,Market_Order,-100Shares,23.41,-2341,-100Shares,-,-167,7.34,Filled,2018-08-09 09:30:00
2018-08-13,09:30:00,Stock,方大炭素(600516.XSHG),Sell,Market_Order,-100Shares,23.8,-2380,-100Shares,-,-128,7.38,Filled,2018-08-13 09:30:00
2018-08-14,09:30:00,Stock,川投能源(600674.XSHG),Sell,Market_Order,-300Shares,8.7,-2610,-300Shares,-,-42,7.61,Filled,2018-08-14 09:30:00
2018-08-14,09:30:00,Stock,方大炭素(600516.XSHG),Sell,Market_Order,-100Shares,24.5,-2450,-100Shares,-,-58,7.45,Filled,2018-08-14 09:30:00
2018-08-14,09:30:00,Stock,分众传媒(002027.XSHE),Sell,Market_Order,-100Shares,10.51,-1051,-100Shares,-,-37,6.05,Filled,2018-08-14 09:30:00
2018-08-14,09:30:00,Stock,龙蟒佰利(002601.XSHE),Buy,Market_Order,1300Shares,14.18,18434,1300Shares,-,0,5.53,Filled,2018-08-14 09:30:00
2018-08-14,09:30:00,Stock,海螺水泥(600585.XSHG),Buy,Market_Order,500Shares,38.76,19380,500Shares,-,0,5.81,Filled,2018-08-14 09:30:00
2018-08-14,09:30:00,Stock,中国神华(601088.XSHG),Buy,Market_Order,1200Shares,17.85,21420,1200Shares,-,0,6.43,Filled,2018-08-14 09:30:00
2018-08-14,09:30:00,Stock,招商公路(001965.XSHE),Buy,Market_Order,2600Shares,8.38,21788,2600Shares,-,0,6.54,Filled,2018-08-14 09:30:00
2018-08-14,09:30:00,Stock,君正集团(601216.XSHG),Buy,Market_Order,6600Shares,3.31,21846,6600Shares,-,0,6.55,Filled,2018-08-14 09:30:00
