Date,Security_Type,Symbol,Side,Quantity,Available_Qty,Close_Price,Market_Value,Floating_PnL,Avg_Open_Price,Avg_Position_Price,Margin,Daily_PnL,Today_Lots,PnL_Ratio,Position_Weight
2014-10-09,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-10-09,,Cash,,,,,2709.39,,,,,,,,0
2014-10-10,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-10-10,,Cash,,,,,2709.39,,,,,,,,0
2014-10-13,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-10-13,,Cash,,,,,2709.39,,,,,,,,0
2014-10-14,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-10-14,,Cash,,,,,2709.39,,,,,,,,0
2014-10-15,Stock,欣旺达(300207.XSHE),Long,4200Shares,4200Shares,32.93,138306,588,32.79,-,0,0,0Shares,0.43%,141015.39,98.08%
2014-10-15,,Cash,,,,,2709.39,,,,,,,,0
