date,rolling_60d_trading_cost_hkd
2023-08-04,1325.2896760118513
2023-08-07,1314.526659685499
2023-08-08,1179.95407285597
2023-08-09,1094.8405713103987
2023-08-10,1048.1660225076282
2023-08-11,1019.5254394412117
2023-08-14,1007.3546617956765
2023-08-15,979.4014881702695
2023-08-16,969.4514187143715
2023-08-17,940.6130276542715
2023-08-18,932.8847435562705
2023-08-21,929.3827435562705
2023-08-22,925.1465768896038
2023-08-23,916.9278507854046
2023-08-24,909.8115129974742
2023-08-25,902.3674356641409
2023-08-28,897.4397689974743
2023-08-29,909.4174582941145
2023-08-30,953.7601374269892
2023-08-31,961.378391445255
2023-09-01,930.3810512151479
2023-09-04,939.2449222883131
2023-09-05,920.1710334786603
2023-09-06,917.2618078584142
2023-09-07,914.6534176842644
2023-09-08,888.3335818180402
2023-09-11,886.8415653952947
2023-09-12,889.5499195474895
2023-09-13,893.6322051000545
2023-09-14,891.7569350375362
2023-09-15,885.3479080574984
2023-09-18,887.8335704542715
2023-09-19,955.8321336791956
2023-09-20,951.8494425452378
2023-09-21,910.6469379994311
2023-09-22,884.8524258291817
2023-09-25,877.4564342066683
2023-09-26,867.0548766252701
2023-09-27,874.3675113084454
2023-09-28,866.5904499564072
2023-09-29,859.3795906350199
2023-10-03,840.3047438627856
2023-10-04,816.0590831432451
2023-10-05,807.941538487743
2023-10-06,785.9560696286178
2023-10-09,771.9165638062436
2023-10-10,771.9165638062436
2023-10-11,734.3707453026706
2023-10-12,704.3628314063601
2023-10-13,677.1553701718263
2023-10-16,658.7469061482424
2023-10-17,644.3955555573302
2023-10-18,625.9619207817382
2023-10-19,618.110517060676
2023-10-20,595.3120124010377
2023-10-24,577.791620511717
2023-10-25,567.4444963557606
2023-10-26,554.3052429933705
2023-10-27,553.0305763267039
2023-10-30,553.0305763267039
2023-10-31,553.0305763267039
2023-11-01,553.0305763267039
2023-11-02,629.2209726243746
2023-11-03,694.5318060853373
2023-11-06,747.990164038802
2023-11-07,765.9812745305371
2023-11-08,776.2549344509706
2023-11-09,783.3569057907632
2023-11-10,795.2491597270969
2023-11-13,802.9505173498248
2023-11-14,807.257707757911
2023-11-15,817.7552335100206
2023-11-16,825.1227091429811
2023-11-17,831.6686950153138
2023-11-20,837.7832879239016
2023-11-21,843.651648283261
2023-11-22,853.4202019694598
2023-11-23,821.9610074743855
2023-11-24,815.8421308446899
2023-11-27,853.1970986356765
2023-11-28,898.6556438417792
2023-11-29,903.8080437147935
2023-11-30,935.1256531403945
2023-12-01,930.6496390531299
2023-12-04,924.915247805557
2023-12-05,932.4853062215219
2023-12-06,925.271937300766
2023-12-07,923.5827102257916
2023-12-08,917.7942010395299
2023-12-11,916.6714246176703
2023-12-12,914.2496540333655
2023-12-13,916.5345114131666
2023-12-14,826.6044626792861
2023-12-15,917.1089624000089
2023-12-18,933.1180171394939
2023-12-19,936.3946970412635
2023-12-20,923.4754256613274
2023-12-21,928.0322740687884
2023-12-22,942.1563151169931
2023-12-27,956.5963332053689
2023-12-28,981.0652755029937
2023-12-29,991.0924217900778
2024-01-02,997.0955861118475
2024-01-03,1008.0558081718717
2024-01-04,1012.6666415052049
2024-01-05,1020.3940714256274
2024-01-08,1026.5801133125349
2024-01-09,1055.7696691071546
2024-01-10,1084.1228491449306
2024-01-11,1105.8402833372104
2024-01-12,1142.986546396266
2024-01-15,1162.1674262413803
2024-01-16,1176.2880850581232
2024-01-17,1196.8530949341146
2024-01-18,1206.9061584328367
2024-01-19,1213.2587719553992
2024-01-22,1223.4793958496116
2024-01-23,1234.7349395177214
2024-01-24,1254.5124758229272
2024-01-25,1268.2732753265966
2024-01-26,1280.1668409583697
2024-01-29,1286.6571969649603
2024-01-30,1224.138031640771
2024-01-31,1168.2148075712596
2024-02-01,1120.8721743967412
2024-02-02,1117.3815975140492
2024-02-05,1114.2994832021118
