date,rolling_60d_turnover_hkd
2020-02-20,93060.28421588449
2020-02-21,89880.40497031283
2020-02-24,88454.97659846317
2020-02-25,89912.52954385657
2020-02-26,89421.91802622778
2020-02-27,89452.51304144535
2020-02-28,89666.12251876062
2020-03-02,89437.84615844126
2020-03-03,89188.24299120117
2020-03-04,88756.50576091702
2020-03-05,88368.29760959525
2020-03-06,87948.14125593619
2020-03-09,87597.33728124063
2020-03-10,87122.64277130233
2020-03-11,86480.73190738804
2020-03-12,91058.57688791728
2020-03-13,87208.36177658047
2020-03-16,85515.49125608997
2020-03-17,85180.2207696868
2020-03-18,84869.8501822702
2020-03-19,84644.52311018409
2020-03-20,84505.93906906193
2020-03-23,83977.2719963136
2020-03-24,83957.1517088879
2020-03-25,83584.73672812246
2020-03-26,82511.82926517485
2020-03-27,82605.25928702313
2020-03-30,83299.48565664499
2020-03-31,83570.24120492558
2020-04-01,83372.49912031223
2020-04-02,83891.24248668758
2020-04-03,85271.07227264937
2020-04-06,85773.706571718
2020-04-07,87611.72001037633
2020-04-08,88625.5604325863
2020-04-09,88332.21618867181
2020-04-14,88740.44765671912
2020-04-15,89839.92415834252
2020-04-16,90076.77132301054
2020-04-17,89589.40962316144
2020-04-20,89299.56524449564
2020-04-21,89380.72084447076
2020-04-22,89380.33963589992
2020-04-23,89486.90847210183
2020-04-24,90301.97741676847
2020-04-27,100167.09403663607
2020-04-28,105290.36278564703
2020-04-29,108551.40573893601
2020-05-04,109580.45120158957
2020-05-05,109306.35553222593
2020-05-06,111927.61575379019
2020-05-07,112714.95669400717
2020-05-08,113302.52277970749
2020-05-11,116803.1885081764
2020-05-12,117374.73440449101
2020-05-13,117992.812447277
2020-05-14,118358.58863149249
2020-05-15,119001.03431559689
2020-05-18,119414.77631878208
2020-05-19,119520.554307394
2020-05-20,111193.80864023547
2020-05-21,111443.76300767237
2020-05-22,118855.22946539431
2020-05-25,117522.93765450703
2020-05-26,118646.11043973868
2020-05-27,119990.0377921076
2020-05-28,120262.872052478
2020-05-29,121020.8732759872
2020-06-01,122075.05051332527
2020-06-02,122444.56245098232
2020-06-03,122956.33894684029
2020-06-04,123357.75445779454
2020-06-05,123966.72560022585
2020-06-08,124762.06249512332
2020-06-09,125488.76766051161
2020-06-10,130015.39712750768
2020-06-11,133090.90877101567
2020-06-12,138400.8685711633
2020-06-15,141062.09268978608
2020-06-16,142375.7334922632
2020-06-17,143735.57728374252
2020-06-18,144697.5117822903
2020-06-19,145432.88483045052
2020-06-22,146028.93970345365
2020-06-23,146633.0581304507
2020-06-24,146758.16048915216
2020-06-26,146699.45627695447
2020-06-29,146418.81343333068
2020-06-30,146159.9128723917
2020-07-02,146149.02347798127
2020-07-03,151091.38811835035
2020-07-06,151429.86076379853
2020-07-07,154621.87145279296
2020-07-08,156449.86242462898
2020-07-09,157135.42885929617
2020-07-10,158485.18052785817
2020-07-13,159128.67774068235
2020-07-14,158940.38748538264
2020-07-15,159268.1926104204
2020-07-16,159852.7861871212
2020-07-17,160508.2556914954
2020-07-20,161085.0353483275
2020-07-21,161448.7327688858
2020-07-22,163810.67034252264
2020-07-23,164000.33329951178
2020-07-24,180331.9521770485
2020-07-27,175698.1637920687
2020-07-28,172543.88081229388
2020-07-29,171677.56788653118
2020-07-30,173655.85832857466
2020-07-31,173344.91426580213
2020-08-03,172971.82017693075
2020-08-04,173101.55807898156
2020-08-05,172232.51121697432
2020-08-06,173803.34183676483
2020-08-07,174157.45566220878
2020-08-10,176446.47335824717
2020-08-11,176559.23390229122
2020-08-12,178691.7715700974
2020-08-13,179509.83895508252
2020-08-14,209407.21109554204
2020-08-17,208845.4560428433
2020-08-18,201866.42344943943
2020-08-19,202508.54192821792
2020-08-20,201694.98846703384
2020-08-21,200699.43583342253
2020-08-24,200612.0303265793
2020-08-25,200169.59120441086
2020-08-26,199390.32425734366
2020-08-27,199787.0833794928
2020-08-28,200051.08975882133
2020-08-31,201864.50710019018
2020-09-01,201406.9263266875
2020-09-02,201126.45334587526
2020-09-03,201045.65119495563
2020-09-04,212308.55318983633
2020-09-07,209603.86111597012
2020-09-08,204848.46786692058
2020-09-09,205591.51479592995
2020-09-10,204777.3125010514
2020-09-11,205050.96042639756
2020-09-14,205105.87352639216
2020-09-15,205115.61321456236
2020-09-16,204496.1873547149
2020-09-17,204289.83921715803
2020-09-18,205257.00510850587
2020-09-21,206419.08577752518
2020-09-22,207118.12772869592
2020-09-23,207032.08533608456
2020-09-24,207543.73385360694
2020-09-25,201065.02631209895
2020-09-28,199516.97959556582
2020-09-29,195591.71618144316
2020-09-30,192101.51234970614
2020-10-05,193061.83497694347
2020-10-06,193255.747613228
2020-10-07,192726.19527839136
2020-10-08,192872.7684289209
